"activityType","startTimestamp","endTimestamp","kilometers","hours","speed","timeOfDay","weekday","weekOfYear","month"
"CYCLING",2022-05-01 17:03:38,2022-05-01 17:11:32,0.922790073980387,0.131666666666667,7.00853220744598,"Afternoon","Sunday",18,"May"
"CYCLING",2022-05-01 17:21:48,2022-05-01 17:42:49,4.03353474258694,0.350277777777778,11.5152458947763,"Afternoon","Sunday",18,"May"
"CYCLING",2022-05-02 12:44:31,2022-05-02 13:04:46,5.18169386449129,0.3375,15.3531670059001,"Morning","Monday",18,"May"
"CYCLING",2022-05-02 13:56:48,2022-05-02 14:00:06,0.535,0.055,9.72727272727273,"Afternoon","Monday",18,"May"
"CYCLING",2022-05-02 21:52:31,2022-05-02 22:17:15,6.49163321478727,0.412222222222222,15.7478972865459,"Evening","Monday",18,"May"
"CYCLING",2022-05-03 12:17:39,2022-05-03 12:40:19,5.75998112627185,0.377777777777778,15.2470088636608,"Morning","Tuesday",18,"May"
"CYCLING",2022-05-03 16:26:40,2022-05-03 16:29:15,0.404157026184931,0.0430555555555556,9.38687286623066,"Afternoon","Tuesday",18,"May"
"CYCLING",2022-05-03 16:43:27,2022-05-03 16:51:44,1.56472166965509,0.138055555555556,11.3340000216465,"Afternoon","Tuesday",18,"May"
"CYCLING",2022-05-03 17:59:35,2022-05-03 18:31:10,6.17082044060594,0.526388888888889,11.7229306523385,"Afternoon","Tuesday",18,"May"
"CYCLING",2022-05-03 21:09:14,2022-05-03 21:21:23,4.1188573973653,0.2025,20.340036530199,"Evening","Tuesday",18,"May"
"CYCLING",2022-05-03 23:05:03,2022-05-03 23:21:14,3.57526499591613,0.269722222222222,13.255359408134,"Evening","Tuesday",18,"May"
"CYCLING",2022-05-04 12:41:25,2022-05-04 13:01:48,6.17504715796206,0.339722222222222,18.1767536947371,"Morning","Wednesday",18,"May"
"CYCLING",2022-05-04 13:42:16,2022-05-04 13:58:03,2.96792714202436,0.263055555555556,11.2825107827748,"Afternoon","Wednesday",18,"May"
"CYCLING",2022-05-04 14:32:58,2022-05-04 16:06:25,5.89371225816769,1.5575,3.7840849169616,"Afternoon","Wednesday",18,"May"
"CYCLING",2022-05-04 20:36:02,2022-05-04 20:40:19,0.94610282151593,0.0713888888888889,13.2528021690947,"Evening","Wednesday",18,"May"
"CYCLING",2022-05-04 20:57:37,2022-05-04 21:02:18,0.788401477353089,0.0780555555555556,10.1005171475841,"Evening","Wednesday",18,"May"
"CYCLING",2022-05-05 20:02:38,2022-05-05 20:06:42,0.855197747135335,0.0677777777777778,12.6176716790459,"Evening","Thursday",18,"May"
"CYCLING",2022-05-05 20:19:04,2022-05-05 20:23:07,0.638174580604371,0.0675,9.45443823117587,"Evening","Thursday",18,"May"
"CYCLING",2022-05-06 13:53:01,2022-05-06 14:14:46,6.05355528439706,0.3625,16.6994628535091,"Afternoon","Friday",18,"May"
"CYCLING",2022-05-06 16:22:06,2022-05-06 16:43:51,4.10586253351157,0.3625,11.326517333825,"Afternoon","Friday",18,"May"
